Name,Difficulty
Gladiator,Medium
Goblin Queen,Hard
Goliath,Medium
Goliath IV,Hard
Gravity,Hard
Green Goblin,Easy
Green Goblin II,Hard
Green Goblin III,Hard
Green Goblin IV,Hard
Groot,Easy
Guardian,Hard
Havok,Medium
Hawkeye,Easy
Hawkeye II,Hard
Hela,Easy
Hellcat,Hard
Hellstorm,Hard
Hercules,Hard
Hobgoblin,Medium
Hollow,Hard
Hope Summers,Hard
Howard the Duck,Medium
Hulk,Easy
Human Torch,Easy
Husk,Hard
Hybrid,Hard
Hydro-Man,Hard
Hyperion,Hard
Iceman,Medium
Ink,Hard
Invisible Woman,Medium
Iron Fist,Medium
Iron Man,Easy
Iron Monger,Hard
Jack of Hearts,Hard
Jean Grey,Easy
Jennifer Kale,Hard
Jessica Jones,Easy
Jigsaw,Hard
John Wraith,Hard
Jolt,Hard
Jubilee,Medium
Juggernaut,Easy
Junkpile,Hard
Justice,Hard
Kang,Hard
Kingpin,Easy
Klaw,Hard
Kraven II,Hard
Kraven the Hunter,Hard
Lady Bullseye,Hard
Lady Deathstrike,Hard
Leader,Hard
Leech,Medium
Legion,Medium
Living Brain,Hard
Living Tribunal,Hard
Lizard,Hard
Loki,Easy
Longshot,Hard
Luke Cage,Easy
Luna,Hard
Lyja,Hard
Mach-IV,Hard
Machine Man,Hard
Magneto,Easy
Magus,Hard
Man-Thing,Medium
Man-Wolf,Hard
Mandarin,Hard
Mantis,Easy
Marvel Girl,Hard
Maverick,Hard
Medusa,Medium
Meltdown,Hard
Mephisto,Hard
Meteorite,Hard
Mimic,Hard
Mister Fantastic,Easy
Mister Knife,Hard
Mister Sinister,Medium
Mockingbird,Medium
MODOK,Hard
Molten Man,Hard
Moon Knight,Easy
Moonstone,Hard
Morlun,Hard
Morph,Hard
Moses Magnum,Hard
Mr Immortal,Hard
Ms Marvel II,Hard
Multiple Man,Hard
Mysterio,Medium
Mystique,Easy
Namor,Easy
Namora,Hard
Namorita,Hard
Nebula,Easy
Negasonic Teenage Warhead,Hard
Nick Fury,Easy
Nightcrawler,Easy
Northstar,Hard
Nova,Easy
Nova II,Hard
Odin,Hard
Omega Red,Medium
One-Above-All,Hard
Onslaught,Hard
Penance,Hard
Penance I,Hard
Penance II,Hard
Phoenix,Hard
Plantman,Hard
Polaris,Hard
Power Man,Hard
Professor X,Easy
Proto-Goblin,Hard
Psylocke,Medium
Punisher,Easy
Purple Man,Hard
Pyro,Hard
Quicksilver,Easy
Quill,Hard
Razor-Fist II,Hard
Red Hulk,Hard
Red Skull,Easy
Rhino,Medium
Ripcord,Hard
Rocket Raccoon,Easy
Rogue,Easy
Ronin,Medium
Sabretooth,Easy
Sage,Hard
Sandman,Hard
Sasquatch,Hard
Scarlet Spider,Hard
Scarlet Spider II,Hard
Scarlet Witch,Easy
Scorpia,Hard
Scorpion,Hard
Sebastian Shaw,Hard
Sentry,Medium
Shadow King,Hard
Shadowcat,Easy
Shang-Chi,Easy
Shatterstar,Hard
She-Hulk,Easy
She-Thing,Hard
Shocker,Medium
Shriek,Hard
Sif,Medium
Silk,Hard
Silver Surfer,Easy
Silverclaw,Hard
Siryn,Hard
Skaar,Hard
Snake-Eyes,Hard
Snowbird,Hard
Songbird,Medium
Speedball,Hard
Spider-Carnage,Hard
Spider-Girl,Hard
Spider-Gwen,Hard
Spider-Man,Easy
Spider-Woman,Medium
Spider-Woman II,Hard
Spider-Woman III,Hard
Spider-Woman IV,Hard
Spyke,Hard
Stacy X,Hard
Star-Lord,Easy
Stardust,Hard
Storm,Easy
Sunspot,Medium
Swarm,Hard
Synch,Hard
Taskmaster,Medium
Tempest,Hard
Thanos,Easy
Thing,Hard
Thor,Easy
Thor Girl,Hard
Thunderbird,Hard
Thunderbird II,Hard
Thunderbird III,Hard
Thunderstrike,Hard
Thundra,Hard
Tiger Shark,Hard
Tigra,Medium
Tinkerer,Hard
Toad,Medium
Toxin,Hard
Triton,Hard
Ultragirl,Hard
Ultron,Easy
Utgard-Loki,Hard
Vagabond,Hard
Valkyrie,Medium
Vanisher,Hard
Venom,Easy
Venom II,Hard
Venom III,Hard
Venompool,Hard
Vertigo II,Hard
Vindicator,Hard
Vindicator II,Hard
Vision,Easy
Vision II,Hard
Vulcan,Hard
Vulture,Hard
Walrus,Hard
Watcher,Hard
Weapon XI,Hard
White Queen,Hard
Winter Soldier,Easy
Wiz Kid,Hard
Wolfsbane,Hard
Wolverine,Easy
Wonder Man,Hard
Wondra,Hard
Wyatt Wingfoot,Hard
X-23,Medium
X-Man,Hard
Yellow Claw,Hard
Yellowjacket,Medium
Yellowjacket II,Hard
Ymir,Hard
